,Popularity,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
90,71,1.0,0.919,0.629,1.0,-5.17,1.0,0.376,0.0226,0.0,0.146,0.407,135.05
91,71,1.0,0.745,0.663,1.0,-5.056,1.0,0.423,0.078,0.0,0.213,0.686,167.137
92,71,0.0,0.495,0.691,10.0,-4.989,0.0,0.0447,0.0745,0.0033,0.0881,0.299,123.051
93,71,0.0,0.84,0.667,8.0,-7.126,1.0,0.0843,0.0439,1.34e-05,0.179,0.292,120.044
94,71,1.0,0.898,0.689,9.0,-5.092,1.0,0.171,0.165,0.0,0.0957,0.772,147.964
95,70,0.0,0.708,0.909,5.0,-5.999,0.0,0.0476,0.0324,0.527,0.08,0.351,127.997
96,69,0.0,0.925,0.561,3.0,-8.675,1.0,0.176,0.0659,0.0271,0.152,0.721,128.034
97,69,0.0,0.818,0.885,1.0,-4.184,1.0,0.0498,0.0353,0.00655,0.0785,0.532,124.041
98,69,1.0,0.897,0.583,3.0,-9.584,0.0,0.376,0.0295,0.00117,0.162,0.954,126.183
99,69,1.0,0.855,0.839,7.0,-5.733,1.0,0.153,0.0736,0.426,0.32,0.729,127.044
100,70,0.0,0.556,0.552,4.0,-5.875,1.0,0.0373,0.531,0.0,0.121,0.531,100.051
101,81,0.0,0.417,0.439,10.0,-6.901,1.0,0.0368,0.711,0.0,0.193,0.506,83.982
102,55,0.0,0.619,0.364,7.0,-9.447,1.0,0.127,0.288,0.0,0.322,0.422,169.708
103,80,0.0,0.664,0.553,9.0,-7.555,1.0,0.0376,0.616,0.0,0.157,0.604,99.93
104,83,0.0,0.428,0.413,0.0,-7.783,1.0,0.0281,0.827,9.35e-06,0.108,0.355,79.646
105,73,0.0,0.698,0.334,6.0,-6.297,0.0,0.0291,0.721,0.0,0.0836,0.694,94.123
106,67,0.0,0.762,0.717,7.0,-8.316,0.0,0.0372,0.315,1.87e-05,0.0914,0.958,109.996
107,74,0.0,0.616,0.669,1.0,-6.836,1.0,0.0349,0.562,0.0,0.177,0.475,116.973
108,65,0.0,0.581,0.676,5.0,-7.7,1.0,0.0315,0.675,2.58e-06,0.358,0.458,101.973
109,77,0.0,0.803,0.694,8.0,-7.83,0.0,0.0527,0.551,0.000626,0.128,0.484,108.035
110,72,0.0,0.468,0.658,2.0,-7.6,1.0,0.0668,0.81,0.0333,0.12,0.534,87.607
111,68,0.0,0.635,0.273,9.0,-10.396,1.0,0.0278,0.94,0.0,0.0928,0.462,100.956
112,65,0.0,0.66,0.603,10.0,-7.922,1.0,0.106,0.63,0.0,0.0892,0.58,80.871
113,80,0.0,0.413,0.406,10.0,-10.23,0.0,0.0353,0.768,2.22e-06,0.107,0.281,76.944
114,45,0.0,0.739,0.858,10.0,-4.387,1.0,0.0649,0.137,0.0,0.315,0.839,100.034
115,75,0.0,0.786,0.54,2.0,-5.622,1.0,0.0264,0.824,4.31e-05,0.123,0.82,108.032
116,73,0.0,0.271,0.726,7.0,-6.504,1.0,0.0527,0.586,0.0,0.353,0.532,87.425
117,74,0.0,0.586,0.562,9.0,-7.399,1.0,0.0267,0.803,5.52e-06,0.063,0.436,93.982
118,69,0.0,0.651,0.503,4.0,-8.729,1.0,0.0261,0.504,0.0,0.469,0.58,108.014
